Quarter,222709,222706,Average
Q1,0.31,-0.07,-0.25
Q2,0,-0.45,-0.08
Q3,0.03,-0.02,-0.14
Q4,0.08,-0.2,-0.14
Q5,-0.42,-0.1,-0.15
Q6,-0.36,-0.18,-0.15
Average,-0.10051734,-0.205630357,-0.165890561
